NAME,AQI,YEAR,MONTH,DATE
Beijing,120,2015,5,16
Beijing,178,2015,5,17
Beijing,72,2015,5,18
Beijing,47,2015,5,19
Beijing,65,2015,5,20
Beijing,92,2015,5,21
Beijing,141,2015,5,22
Beijing,177,2015,5,23
Beijing,176,2015,5,24
Beijing,203,2015,5,25
Beijing,190,2015,5,26
Beijing,160,2015,5,27
Beijing,142,2015,5,28
Beijing,99,2015,5,29
Beijing,140,2015,5,30
Beijing,154,2015,5,31
Beijing,158,2015,6,1
Beijing,83,2015,6,2
Beijing,79,2015,6,3
Beijing,102,2015,6,4
Beijing,,2015,6,5
Beijing,104,2015,6,6
Beijing,63,2015,6,7
Beijing,69,2015,6,8
Beijing,137,2015,6,9
Beijing,103,2015,6,10
Beijing,46,2015,6,11
Beijing,44,2015,6,12
Beijing,66,2015,6,13
Beijing,100,2015,6,14
Beijing,163,2015,6,15
Beijing,179,2015,6,16
Beijing,115,2015,6,17
Beijing,49,2015,6,18
Beijing,39,2015,6,19
Beijing,111,2015,6,20
Beijing,139,2015,6,21
Beijing,163,2015,6,22
Beijing,236,2015,6,23
Beijing,153,2015,6,24
Beijing,163,2015,6,25
Beijing,135,2015,6,26
Beijing,124,2015,6,27
Beijing,201,2015,6,28
Beijing,147,2015,6,29
Beijing,51,2015,6,30
Beijing,45,2015,7,1
Beijing,46,2015,7,2
Beijing,116,2015,7,3
Beijing,76,2015,7,4
Beijing,159,2015,7,5
Beijing,154,2015,7,6
Beijing,156,2015,7,7
Beijing,173,2015,7,8
Beijing,170,2015,7,9
Beijing,143,2015,7,10
Beijing,179,2015,7,11
Beijing,201,2015,7,12
Beijing,185,2015,7,13
Beijing,155,2015,7,14
Beijing,75,2015,7,15
Beijing,56,2015,7,16
Beijing,55,2015,7,17
Beijing,81,2015,7,18
Beijing,95,2015,7,19
Beijing,118,2015,7,20
Beijing,176,2015,7,21
Beijing,110,2015,7,22
Beijing,70,2015,7,23
Beijing,138,2015,7,24
Beijing,158,2015,7,25
Beijing,151,2015,7,26
Beijing,130,2015,7,27
Beijing,109,2015,7,28
Beijing,138,2015,7,29
Beijing,75,2015,7,30
Beijing,85,2015,7,31
Beijing,90,2015,8,1
Beijing,102,2015,8,2
Beijing,82,2015,8,3
Beijing,110,2015,8,4
Beijing,127,2015,8,5
Beijing,119,2015,8,6
Beijing,119,2015,8,7
Beijing,110,2015,8,8
Beijing,152,2015,8,9
Beijing,112,2015,8,10
Beijing,175,2015,8,11
Beijing,161,2015,8,12
Beijing,202,2015,8,13
Beijing,119,2015,8,14
Beijing,80,2015,8,15
Beijing,201,2015,8,16
Beijing,145,2015,8,17
Beijing,90,2015,8,18
Beijing,97,2015,8,19
Beijing,100,2015,8,20
Beijing,94,2015,8,21
Beijing,56,2015,8,22
Beijing,53,2015,8,23
Beijing,50,2015,8,25
Beijing,61,2015,8,26
Beijing,60,2015,8,27
Beijing,70,2015,8,28
Beijing,118,2015,8,29
Beijing,74,2015,8,30
Beijing,37,2015,8,31
Beijing,34,2015,9,1
Beijing,44,2015,9,2
Beijing,74,2015,9,3
Beijing,64,2015,9,4
Beijing,44,2015,9,5
Beijing,63,2015,9,6
Beijing,84,2015,9,7
Beijing,104,2015,9,8
Beijing,50,2015,9,9
Beijing,37,2015,9,10
Beijing,35,2015,9,11
Beijing,34,2015,9,12
Beijing,57,2015,9,13
Beijing,89,2015,9,14
Beijing,140,2015,9,15
Beijing,169,2015,9,16
Beijing,201,2015,9,17
Beijing,102,2015,9,18
Beijing,69,2015,9,19
Beijing,114,2015,9,20
Beijing,133,2015,9,21
Beijing,179,2015,9,22
Beijing,57,2015,9,23
Beijing,124,2015,9,24
Beijing,49,2015,9,25
Beijing,74,2015,9,26
Beijing,73,2015,9,27
Beijing,68,2015,9,28
Beijing,62,2015,9,29
Beijing,48,2015,9,30
Beijing,33,2015,10,1
Beijing,59,2015,10,2
Beijing,62,2015,10,3
Beijing,149,2015,10,4
Beijing,272,2015,10,5
Beijing,343,2015,10,6
Beijing,310,2015,10,7
Beijing,35,2015,10,8
Beijing,39,2015,10,9
Beijing,27,2015,10,10
Beijing,37,2015,10,11
Beijing,60,2015,10,12
Beijing,84,2015,10,13
Beijing,135,2015,10,14
Beijing,143,2015,10,15
Beijing,253,2015,10,16
Beijing,344,2015,10,17
Beijing,64,2015,10,18
Beijing,78,2015,10,19
Beijing,99,2015,10,20
Beijing,70,2015,10,21
Beijing,54,2015,10,22
Beijing,74,2015,10,23
Beijing,75,2015,10,24
Beijing,74,2015,10,25
Beijing,63,2015,10,26
Beijing,48,2015,10,27
Beijing,30,2015,10,28
Beijing,30,2015,10,29
Beijing,58,2015,10,30
Beijing,73,2015,10,31
Beijing,98,2015,11,1
Beijing,102,2015,11,2
Beijing,199,2015,11,3
Beijing,260,2015,11,4
Beijing,144,2015,11,5
Beijing,37,2015,11,6
Beijing,37,2015,11,7
Beijing,82,2015,11,8
Beijing,163,2015,11,9
Beijing,175,2015,11,10
Beijing,137,2015,11,11
Beijing,205,2015,11,12
Beijing,258,2015,11,13
Beijing,324,2015,11,14
Beijing,246,2015,11,15
Beijing,79,2015,11,16
Beijing,82,2015,11,17
Beijing,92,2015,11,18
Beijing,102,2015,11,19
Beijing,88,2015,11,20
Beijing,60,2015,11,21
Beijing,69,2015,11,22
Beijing,39,2015,11,23
Beijing,65,2015,11,24
Beijing,69,2015,11,25
Beijing,55,2015,11,26
Beijing,264,2015,11,27
Beijing,308,2015,11,28
Beijing,302,2015,11,29
Beijing,450,2015,11,30
Beijing,476,2015,12,1
Beijing,24,2015,12,2
Beijing,33,2015,12,3
Beijing,54,2015,12,4
Beijing,77,2015,12,5
Beijing,175,2015,12,6
Beijing,230,2015,12,7
Beijing,295,2015,12,8
Beijing,294,2015,12,9
Beijing,127,2015,12,10
Beijing,75,2015,12,11
Beijing,172,2015,12,12
Beijing,229,2015,12,13
Beijing,207,2015,12,14
Beijing,28,2015,12,15
Beijing,23,2015,12,16
Beijing,84,2015,12,17
Beijing,80,2015,12,18
Beijing,168,2015,12,19
Beijing,249,2015,12,20
Beijing,280,2015,12,21
Beijing,347,2015,12,22
Beijing,305,2015,12,23
Beijing,209,2015,12,24
Beijing,485,2015,12,25
Beijing,315,2015,12,26
Beijing,75,2015,12,27
Beijing,149,2015,12,28
Beijing,329,2015,12,29
Beijing,104,2015,12,30
Beijing,90,2015,12,31
Beijing,226,2016,1,1
Beijing,316,2016,1,2
Beijing,297,2016,1,3
Beijing,53,2016,1,4
Beijing,63,2016,1,5
Beijing,44,2016,1,6
Beijing,35,2016,1,7
Beijing,54,2016,1,8
Beijing,102,2016,1,9
Beijing,69,2016,1,10
Beijing,32,2016,1,11
Beijing,38,2016,1,12
Beijing,62,2016,1,13
Beijing,98,2016,1,14
