PM10,EM5_VOC,EM5_NH3,EM5_PM2.5,EM6_CO,EM6_NOX,EM6_SOX,EM6_TSP,EM6_PM10,EM6_VOC,EM6_NH3,EM6_PM2.5,EM7_CO,EM7_NOX,EM7_SOX,EM7_TSP,EM7_PM10,EM7_VOC,EM7_NH3,EM7_PM2.5,EM8_CO,EM8_NOX,EM8_SOX,EM8_TSP,EM8_PM10,EM8_VOC,EM8_NH3,EM8_PM2.5,EM9_CO,EM9_NOX,EM9_SOX,EM9_TSP,EM9_PM10,EM9_VOC,EM9_NH3,EM9_PM2.5,POP_DEN,YD_FREQ,X_COORD,Y_COORD
53.42151935,62567,0,0,0,0,0,0,0,4440805,0,0,2339340,1463183,4436,75248,75248,419102,39853,0,153870,331315,6769,14360,14355,39815,795,0,,,,,,,,,945.73,0,129.3800289,35.60979733
57.26865948,182459,0,0,0,0,0,0,0,2724085,0,0,2687493,3025771,7691,164221,164221,456795,63394,0,531359,1770011,23107,73769,73769,211570,5409,0,40,810,23,16,12,70174,0,0,339.17,0,127.9295763,37.3081487
49.11666667,54004,0,0,0,0,0,0,0,616952,0,0,1693138,1363017,3616,70273,70273,283630,34513,0,70144,240586,3112,9547,9547,28521,739,0,30008,119764,23835,3215,2328,43529,0,0,5821.55,0,127.131186,37.59917847
43.89635036,122078,0,0,0,0,0,0,0,1162968,0,0,2636793,1943008,5532,113379,113379,422601,47432,0,220913,851508,255105,43734,38033,84613,2224,0,135,1105,99,25,18,28458,0,0,213.46,0,128.8325378,37.70906989
46.94211288,208126,0,0,0,0,0,0,0,3262928,0,0,4667120,3762308,9557,203745,203745,761961,98582,0,353756,1152653,15898,50077,50077,141535,3422,0,645,12892,361,258,187,38160,0,0,1026.56,0,127.2436301,37.66249361
55.28468208,60851,0,0,0,0,0,0,0,1438092,0,0,1384453,1121805,2985,59403,59403,226364,30675,0,212800,679727,10420,30296,30296,86447,1948,0,5069,101384,2839,2028,1468,300097,0,0,3188.26,0,127.0512765,37.163201
51.15562154,111216,0,0,0,0,0,0,0,707693,0,0,2039655,1565728,4670,81307,81307,331639,40761,0,82768,288342,3587,11155,11155,33870,899,0,362,7232,203,145,105,21408,0,0,5641.52,0,127.1040981,37.43510565
57.17275748,44963,0,0,0,0,0,0,0,1254285,0,0,1570521,2176596,3786,112743,112743,294061,29615,0,287475,859781,11716,44574,44574,105292,2616,0,6012,22699,4795,621,450,5993,0,0,182.2,,126.9057885,35.60236873
53.48345071,127699,0,0,0,0,0,0,0,1229664,0,0,4266719,2469717,7060,131570,131570,683005,71915,0,148154,512220,6490,20080,20080,60510,1591,0,25027,93544,19972,2566,1858,13432,0,0,5037.21,0,127.0683716,37.73616373
48.86886381,100239,0,0,0,0,0,0,0,2083003,0,0,2244370,1536154,4568,80819,80819,371292,43872,0,159936,525733,7664,22351,22351,65610,1547,0,444,8882,249,178,129,26291,0,0,7322.8,0,126.9113156,37.40406944
56.28837877,154886,0,0,0,0,0,0,0,2108300,0,0,2510210,3305580,6984,176014,176014,453365,67057,0,65127,211309,2633,9514,9514,24531,669,0,31329,144734,24596,3717,2691,121605,0,0,426.47,,127.2529039,37.20324656
56.11041667,100239,0,0,0,0,0,0,0,2435927,0,0,3956365,1993672,6613,104765,104765,616163,71124,0,115911,404317,5090,15568,15568,47665,1254,0,24819,101766,19674,2709,1961,45785,0,0,16269.89,0,126.955438,37.40032745
53.28125,82377.75,0,0,0,0,0,0,0,1766644,0,0,,,,,,,,,,,,,,,,,16518.75,303008,9651.25,6107,4421.5,891914.25,0,0,1270.82,0,127.3692595,36.64681606
49.6801676,115998,0,0,0,0,0,0,0,4630009,0,0,3635251,3049132,7283,167198,167198,596411,75939,0,414928,1389745,17902,58844,58844,160152,4492,0,13621,63628,10682,1629,1180,54219,0,0,435.25,0,126.8106677,37.85617632
60.64749537,101048,0,0,0,0,0,0,0,3962774,0,0,2957649,4446077,9128,236208,236208,545423,86065,0,318370,1045531,13088,45966,45966,120605,3308,0,868,17354,486,347,251,60709,0,0,421.37,,127.4810119,37.20969126
72.8212766,189577,0,0,0,0,0,0,0,8528639,0,0,4054539,4453661,10268,238420,238420,711991,96809,0,861737,3464279,1139796,173862,148347,338354,8800,0,16166,234785,10349,4847,3509,707754,0,0,875.82,0,126.9876401,37.01172482
