PM10,EM2_CO,EM2_NOX,EM2_SOX,EM2_TSP,EM2_PM10,EM2_VOC,EM2_NH3,EM2_PM2.5,EM3_CO,EM3_NOX,EM3_SOX,EM3_TSP,EM3_PM10,EM3_VOC,EM3_NH3,EM3_PM2.5,EM4_CO,EM4_NOX,EM4_SOX,EM4_TSP,EM4_PM10,EM4_VOC,EM4_NH3,EM4_PM2.5,EM5_CO,EM5_NOX,EM5_SOX,EM5_TSP,EM5_PM10
60.57932011,880397,658578,372597,29494,19086,8268,10642,0,224108,4795612,1625907,610044,408626,28111,2411,0,0,0,2425,429390,250,754067,0,0,0,0,0,0,0
64.65944272,291174,732480,85987,13105,9444,26181,14597,0,22120,171150,146795,24194,16067,4128,2591,0,165,7099,4623,793,540,3114,0,0,0,0,0,0,0
77.28225806,144506,366019,70990,7821,5249,10264,9083,0,22472,155301,136229,37578,25094,3719,1783,0,35,1506,981,35,33,3442284,0,0,0,0,0,0,0
27.02564103,144569,178828,197961,10031,6330,2192,3596,0,10117,221050,356184,196206,131455,1255,58,0,0,0,0,0,0,3422,0,0,0,0,0,0,0
85.14168937,92889,210496,25609,4422,3131,8043,4105,0,19078,110604,76015,8082,5406,2994,1785,0,0,0,0,167,102,638,0,0,0,0,0,0,0
65.84293948,131616.6667,335539.6667,77647.33333,20878.33333,13301,9928.666667,7124,0,21040,124444,98947.66667,20509.66667,13650.33333,3424,1665.666667,0,12.33333333,535.6666667,1754,264.6666667,165.6666667,2767.666667,0,0,0,0,0,0,0
85.62335766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.98923284,509363,1676845,4587270,95478,59604,31667,54786,0,203342,2037656,2085688,420464,281823,36409,17108,0,5580820,7390011,6646747,624590,328156,28585141,11565577,0,0,0,0,0,0
48.95698925,228316,592701,188049,25861,16553,15714,16621,0,38648,199050,125441,2465,1687,6367,3089,0,4774,205280,133671,4838,4574,22065,0,0,0,0,0,0,0
39.9295393,214496,474651,188717,14900,9809,14639,11007,0,53253,197099,76479,29602,19903,6893,2560,0,0,0,0,51,31,18673,0,0,0,0,0,0,0
61.6628734,194216,149286,71293,6890,4443,2250,4470,0,18201,225979,317156,235415,157472,3363,1401,0,0,0,2809,386,212,482,0,0,0,0,0,0,0
41.93107806,110075,265802,437765,9473,6135,7330,6356,0,669533,2034319,174505,86594,68254,96394,25749,0,1919170,11406153,11976761,2728712,1623876,5584608,559685,0,0,0,0,0,0
49.17414966,267104.5,455487,96486.5,12020,8051.5,13165,10469,0,106902,508448.5,297851,17600.5,11088,15181.5,9741.5,0,4361,187514.5,124470,4380,4154.5,23417.5,13.5,0,0,0,0,0,0
42.2145749,72507,167767,394244,9320,5802,2543,5960,0,42596,444871,750294,27846,18275,9923,6436,0,0,0,6988,0,0,1277,0,0,0,0,0,0,0
49.76170213,50913,120229,57500,7140,4469,2570,4075,0,2607,20449,22483,306,188,448,414,0,0,0,0,0,0,1427,0,0,0,0,0,0,0
74.77656676,798458,594906,304275,23017,15250,14714,12154,0,25237,146225,131160,54875,36786,3805,1377,0,0,0,2137,398,242,35254,0,0,0,0,0,0,0
