,year,month,name,sig_cd,weather_cd,SO2,CO,O3,NO2,PM10
163,2001,10,중앙로,42110,101,0.005787143,NA,0.008864215,0.016444834,65.91363023
164,2001,10,행신동,41281,108,NA,1.349596774,0.01218254,0.007604839,60.56014363
165,2001,10,과천동,41290,108,0.007727692,0.666347469,NA,0.023723666,43.55307263
166,2001,10,별양동,41290,108,0.006038516,0.769186876,0.018269525,0.019057229,68.07216495
168,2001,10,철산동,41210,108,0.006992151,1.453061224,0.013629513,0.033967033,65.7224026
169,2001,10,교문동,41310,108,0.004278226,0.824865591,0.015876344,0.021666667,84.04029851
170,2001,10,당동,41410,119,0.005758333,0.968340307,0.011084211,0.043830556,74.30932203
171,2001,10,사우동,41570,201,0.006762162,0.627667269,NA,0.03669009,NA
172,2001,10,금곡동,41360,108,0.007317073,NA,NA,0.02318845,41.49566724
173,2001,10,내동,41190,112,0.005789074,1.067857143,0.011428795,0.045143119,107.0030349
174,2001,10,소사본동,41190,112,0.008056528,1.68923284,0.018927322,0.033294751,87.73854447
175,2001,10,중2동,41190,112,0.004082596,0.893380282,0.008355021,0.035804775,71.14482759
176,2001,10,단대동,41131,108,0.005688525,0.921584699,0.018142077,0.025256831,59.81843972
178,2001,10,정자1동,41135,119,0.018328338,0.711773256,0.012693878,0.007540466,NA
179,2001,10,광교동,41117,119,0.006974462,1.329301075,0.011209677,0.045692204,58.26612903
180,2001,10,신풍동,41115,119,0.004645205,1.127671233,0.014067669,0.031685871,64.41506849
181,2001,10,인계동,41115,119,0.005812849,1.365223464,0.016191341,0.023703911,71.3037594
182,2001,10,시화공단,41390,112,0.009251397,1.093206522,0.016490489,0.042293478,70.79054054
183,2001,10,정왕동,41390,112,0.007769231,1.186099865,0.015827434,0.041359838,87.95245171
184,2001,10,고잔동,41273,112,0.006966307,1.283153639,0.014014771,0.033514825,86.64285714
185,2001,10,본오동,41271,119,0.003619444,0.719417476,0.012563107,0.03138835,82.90291262
186,2001,10,부곡동1,41271,119,0.007017417,NA,0.01006546,0.031751037,62.93499308
187,2001,10,원곡동,41273,112,0.002795287,0.848433048,0.010854494,0.029500713,57.60658083
188,2001,10,원시동,41273,112,0.007662618,0.857346648,0.022100942,0.017915108,109.4534413
189,2001,10,부림동,41173,119,0.005306122,0.627088949,0.010401894,0.033993234,52.67085077
190,2001,10,안양6동,41171,119,0.007546559,1.390958165,0.011357625,0.031424828,58.15789474
191,2001,10,호계동,41173,119,0.007989175,1.27106383,0.016782138,0.03711908,82.78078484
192,2001,10,김량장동,41461,203,0.002138313,0.765498652,0.003454006,0.043703504,50.99455782
194,2001,10,의정부동,41150,98,0.002343203,1.077523553,0.012687752,0.02328533,64.92059219
195,2001,10,설성면,41500,203,0.003821263,0.444427245,0.017812191,0.012780776,NA
196,2001,10,비전동,41220,119,0.006520861,0.684791386,0.017795424,0.031896213,80.76344086
197,2001,10,저구리,48310,294,0.002492038,0.466872111,0.038218798,0.00546225,37.43913713
198,2001,10,동상동,48250,159,0.003874433,0.915582451,0.020382753,0.0205117,35.83963691
199,2001,10,북부동,48330,288,0.003626781,0.478284924,0.01676511,0.02067033,NA
200,2001,10,상봉동,48170,192,0.005538358,0.787886945,0.021172275,0.01384097,41.01538462
201,2001,10,가음정동,48123,155,0.008017493,0.883661972,0.025784507,0.029866197,52.16760563
202,2001,10,경화동,48129,155,0.00601259,0.745750708,0.027887097,0.010853067,41.21128799
203,2001,10,명서동,48121,155,0.004366261,0.459665145,0.026501524,0.026756098,41.54226475
204,2001,10,봉암동,48127,155,0.007627874,0.805603448,0.021659483,0.03808046,48.07902299
205,2001,10,웅남동,48123,155,0.008771739,NA,NA,0.027837274,46.24612737
206,2001,10,회원동,48127,155,0.006115747,0.897518248,0.03189779,0.032564516,55.25237449
207,2001,10,성건동,47130,138,0.002582803,0.540144928,0.016348201,0.020208895,35.77496274
208,2001,10,공단동,47190,279,0.008044959,0.779836512,0.012290191,0.028557037,47.90408805
209,2001,10,원평동,47190,279,0.006852503,0.717861976,0.015252374,0.016609459,26.4461326
210,2001,10,형곡동,47190,279,0.003077778,0.586258503,0.015961957,0.025052448,45.34927536
211,2001,10,신음동,47150,135,0.004673525,0.748834019,0.019764384,0.017912458,48.49658003
212,2001,10,남문동,47170,136,0.004267473,0.826209677,0.013956989,0.028758065,31.4233871
213,2001,10,지품면,47770,277,0.001574697,0.244264507,0.038078062,0.00269852,20.93131868
214,2001,10,휴천동,47210,272,0.003347469,0.535326087,0.01385346,0.015436639,49.99193548
